,Shots,Goals,Takeaways,Hits,Blocked Shots,Giveaways,Missed Shots,Penalities,#Won Faceoffs,HoA_away,HoA_home,startRinkSide_left,startRinkSide_right
12504,3.0,2.0,5.0,13.0,7.0,7.0,3.0,1.0,10.0,0,1,0,1
12505,7.0,1.0,3.0,8.0,1.0,0.0,3.0,1.0,3.0,1,0,1,0
12506,9.0,0.0,4.0,12.0,1.0,3.0,4.0,1.0,9.0,0,1,1,0
12507,10.0,3.0,2.0,3.0,8.0,3.0,1.0,1.0,10.0,1,0,1,0
12508,7.0,4.0,0.0,9.0,4.0,5.0,1.0,1.0,13.0,0,1,1,0
12509,5.0,0.0,1.0,6.0,6.0,0.0,4.0,2.0,9.0,1,0,0,1
12510,8.0,0.0,2.0,11.0,5.0,2.0,4.0,1.0,8.0,0,1,0,1
12511,12.0,1.0,1.0,13.0,6.0,0.0,7.0,4.0,12.0,1,0,1,0
12512,8.0,0.0,2.0,17.0,5.0,5.0,4.0,2.0,10.0,0,1,1,0
12513,10.0,0.0,0.0,6.0,5.0,0.0,1.0,1.0,8.0,1,0,0,1
12514,2.0,1.0,3.0,7.0,5.0,0.0,5.0,2.0,3.0,0,1,0,1
12515,5.0,1.0,2.0,10.0,7.0,2.0,4.0,1.0,8.0,1,0,0,1
12516,13.0,0.0,1.0,15.0,3.0,8.0,6.0,0.0,6.0,0,1,0,1
12517,7.0,0.0,1.0,6.0,5.0,0.0,2.0,2.0,9.0,1,0,0,1
12518,10.0,1.0,4.0,15.0,1.0,1.0,4.0,2.0,15.0,0,1,0,1
12519,11.0,0.0,1.0,9.0,3.0,5.0,5.0,2.0,9.0,1,0,0,1
12520,13.0,0.0,0.0,6.0,6.0,8.0,6.0,0.0,6.0,0,1,0,1
12521,9.0,2.0,2.0,9.0,3.0,3.0,2.0,3.0,11.0,1,0,0,1
12522,8.0,2.0,3.0,13.0,3.0,4.0,3.0,4.0,10.0,0,1,0,1
12523,8.0,1.0,1.0,1.0,3.0,3.0,6.0,0.0,11.0,1,0,0,1
12524,11.0,1.0,6.0,12.0,6.0,7.0,5.0,1.0,8.0,0,1,0,1
12525,8.0,1.0,5.0,6.0,4.0,0.0,7.0,2.0,9.0,1,0,0,1
12526,7.0,1.0,2.0,5.0,4.0,6.0,4.0,3.0,9.0,0,1,0,1
12527,8.0,0.0,3.0,8.0,2.0,2.0,0.0,3.0,12.0,1,0,0,1
12528,9.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,9.0,0,1,0,1
12529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
12530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
12531,7.0,0.0,1.0,3.0,3.0,3.0,1.0,3.0,15.0,1,0,0,1
